Mã CK,Sàn niêm yết,Tên Doanh Nghiệp (Tiếng Việt),Tên Tiếng Anh (English Name),Trang chủ (Website),Cổng Cổ đông (IR Portal),Ngành ICB Cấp 1,Ngành ICB Cấp 2,Mã ISIN Quốc tế,Giá tham chiếu (VND),Trạng thái giao dịch
SSM,HNX,Cổ phiếu CTCP Chế tạo kết cấu thép VNECO.SSM,Steel Structure Manufacture JSC,http://ssm.com.vn,http://ssm.com.vn/quan-he-co-dong,Nguyên vật liệu,Thép & Kim loại,VN000000SSM3,4500,Đang giao dịch
STC,HNX,"Cổ phiếu CTCP Sách và Thiết bị Trường học tại Tp, HCM",Book and Educational Equipment JSC in Ho Chi Minh city,http://stb.com.vn,http://stb.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000STC2,11200,Đang giao dịch
STP,HNX,Cổ phiếu CTCP Công nghiệp Thương mại Sông Đà,Song Da Industry Trade Joint Stock Company,http://stp.com.vn,http://stp.com.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000STP4,7800,Đang giao dịch
SVN,HNX,Công ty cổ phần Tập đoàn Vexilla Việt Nam,VEXILLA Viet Nam Group Joint Stock Company,http://solavina.vn,http://solavina.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000SVN5,3100,Đang giao dịch
SZB,HNX,CTCP Sonadezi Long Binh,Sonadezi Long Binh Shareholding Company,https://szb.com.vn,https://szb.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SZB1,40300,Đang giao dịch
TA9,HNX,TA9 - CTCP Xay lap Thanh an 96,Thanh An 96 Installation and Construction Joint Stock Company,http://thanhan96.vn,http://thanhan96.vn/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000TA92,10500,Đang giao dịch
TD6,HNX,Cổ phiếu Công ty cổ phần Than Đèo Nai - Cọc Sáu - TKV,Deo Nao-Coc Sau-TKV coal joint stock company,https://thandeonaicocsau.vn,https://thandeonaicocsau.vn/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000TD65,6000,Đang giao dịch
TDT,HNX,CTCP Dau tu va phat trien TDT,TDT Investment and Development Joint Stock Company,http://tdtgroup.vn,http://tdtgroup.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000TDT8,6900,Đang giao dịch
TET,HNX,Công ty Cổ phần Bất động sản PRISTIE,PRISTIE Real Estate Joint stock Company,http://textaco.vn,http://textaco.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000TET6,50000,Đang giao dịch
TFC,HNX,CTCP Trang,Trang Corporation Joint Stock Company,https://trangcorporation.vn,https://trangcorporation.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000TFC9,41900,Đang giao dịch
THB,HNX,Công ty cổ phần Bia Hà Nội - Thanh Hóa,Ha Noi - Thanh Hoa Beer JSC,http://biathanhhoa.com.vn,http://biathanhhoa.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000THB7,9100,Đang giao dịch
THD,HNX,CTCP Thaiholdings,Thaiholdings Joint Stock Company,https://thaiholdings.com.vn,https://thaiholdings.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000THD3,134500,Đang giao dịch
THS,HNX,CTCP Thanh Hoa - Sông Đà,Song Da - Thanh Hoa Joint Stock Company,http://thanhhoasongda.com.vn,http://thanhhoasongda.com.vn/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000THS1,9200,Đang giao dịch
THT,HNX,Công ty cổ phần Than Hà Tu - Vinacomin,Vinacomin - Ha Tu Coal JSC,http://hatucoal.vn,http://hatucoal.vn/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000THT9,7100,Đang giao dịch
TIG,HNX,Cổ phiếu CTCP Tập đoàn Đầu tư Thăng Long,Thang Long Investment Group Joint Stock Company,https://tig.vn,https://tig.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000TIG4,5900,Đang giao dịch
TJC,HNX,Cổ phiếu CTCP Dịch vụ Vận tải và Thương mại,Transportation and Trading Services Joint Stock Company,https://transco.com.vn,https://transco.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000TJC1,9000,Đang giao dịch
TKU,HNX,Cổ phiếu CTCP Công nghiệp Tung Kuang,Tung Kuang Industrial JSC,https://tungkuang.com.vn,https://tungkuang.com.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000TKU1,10900,Đang giao dịch
TMB,HNX,CTCP Kinh doanh than Mien Bac - Vinacomin,Vinacomin – Northern Coal Trading Joint Stock Company,https://thanmienbac.vn,https://thanmienbac.vn/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000TMB7,47100,Đang giao dịch
TMC,HNX,Cổ phiếu CTCP Thương mại và Xuất nhập khẩu Thủ Đức,Thu Duc Trading and Import - Export Joint Stock Company,http://timexcothuduc.com.vn,http://timexcothuduc.com.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000TMC5,6400,Đang giao dịch
TMX,HNX,Công ty cổ phần VICEM Thương mại Xi măng,Vicem Cement Trading JSC,https://vicem.vn,https://vicem.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000TMX1,8500,Đang giao dịch
TNG,HNX,Cổ phiếu CTCP Đầu tư và Thương mại TNG,TNG Investment and Trading JSC,https://tng.vn,https://tng.vn/quan-he-co-dong,Hàng tiêu dùng,Hàng cá nhân & May mặc,VN000000TNG4,16500,Đang giao dịch
TOT,HNX,Công ty cổ phần Transimex Logistics,Transimex Logistics Corporation,https://transimextrans.com.vn,https://transimextrans.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000TOT5,13700,Đang giao dịch
TPP,HNX,Công ty cổ phần Tân Phú Việt Nam,Tan Phu Viet Nam JSC,https://tanphuvietnam.vn,https://tanphuvietnam.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000TPP0,10500,Đang giao dịch
TSB,HNX,Cổ phiếu CTCP Ắc qui Tia Sáng,Tiasang Battery Joint stock company,http://tiasangbattery.com,http://tiasangbattery.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000TSB4,19800,Đang giao dịch
TTC,HNX,Cổ phiếu CTCP Gạch men Thanh Thanh,Thanh Thanh Joint Stock Company,https://thanhthanhceramic.com,https://thanhthanhceramic.com/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000TTC0,9200,Đang giao dịch
TTH,HNX,CTCP Thuong mai va Dich vu Tien Thanh,Tien Thanh Service and Trading Joint Stock Company,http://tienthanhjsc.vn,http://tienthanhjsc.vn/quan-he-co-dong,Hàng tiêu dùng,Hàng cá nhân & May mặc,VN000000TTH9,2200,Đang giao dịch
TTL,HNX,CTCP Tong cong ty Thang Long,Thang Long Joint Stock Corporation,https://thanglonggroup.vn,https://thanglonggroup.vn/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000TTL1,9000,Đang giao dịch
TTT,HNX,CTCP Du lich-Thuong mai Tay Ninh,Tay Ninh Tourist - Trading Joint Stock Company,http://tanitour.com.vn,http://tanitour.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000TTT4,31500,Đang giao dịch
TV3,HNX,Cổ phiếu CTCP Tư Vấn Xây dựng Điện 3,Power Engineering Consulting Joint Stock Company 3,https://pecc3.com.vn,https://pecc3.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000TV30,15000,Đang giao dịch
TV4,HNX,Cổ phiếu CTCP TƯ vấn Xây dựng Điện 4,Power Engineering Consulting JSC 4,https://pecc4.vn,https://pecc4.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000TV48,13400,Đang giao dịch
TVC,HNX,Công ty cổ phần Tập đoàn Quản lý tài sản Trí Việt,Tri Viet Asset Management Corporation Joint Stock Company,http://tcorp.vn,http://tcorp.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000TVC6,7500,Đang giao dịch
TVD,HNX,Công ty cổ phần Than Vàng Danh - Vinacomin,Vinacomin - Vang Danh Coal Joint Stock Company,https://thanvangdanh.com.vn,https://thanvangdanh.com.vn/quan-he-co-dongNh,Nguyên vật liệu,Khai khoáng & Than đá,VN000000TVD4,8700,Đang giao dịch
TXM,HNX,Cổ phiếu CTCP Vicem Thạch cao Xi măng,Vicem Gypsum and Cement Joint Stock Company,https://vicemthachcaoximang.vn,https://vicemthachcaoximang.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000TXM1,4000,Đang giao dịch
UNI,HNX,Công ty cổ phần Đầu tư và Phát triển Sao Mai Việt,Sao Mai Viet Investment And Development Joint Stock Company,https://saomaiviet.net,https://saomaiviet.net/quan-he-co-dong,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000UNI8,7000,Đang giao dịch
V12,HNX,Cổ phiếu CTCP Xây dựng số 12,Viet Nam Construction Joint Stock Company No 12,http://vinaconex12.com.vn,http://vinaconex12.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000V127,11000,Đang giao dịch
V21,HNX,Công ty cổ phần Vinaconex 21,Vinaconex 21 JSC,https://vinaconex21.vn,https://vinaconex21.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000V218,5800,Đang giao dịch
VBC,HNX,Cổ phiếu CTCP Nhựa - Bao bì Vinh,Vinh Plastic and Bags JSC,http://nhuabaobivinh.com,http://nhuabaobivinh.com/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000VBC4,19300,Đang giao dịch
VC1,HNX,Cổ phiếu CTCP Xây dựng số 1,Construction JSC No 1,http://vinaconex1.com.vn,http://vinaconex1.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000VC13,11000,Đang giao dịch
VC2,HNX,Công ty cổ phần Đầu tư và Xây dựng VINA2,VINA2 Investment and Construction Joint Stock Company,http://vina2.com.vn,http://vina2.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000VC21,3100,Đang giao dịch
VC3,HNX,Công ty cổ phần Tập đoàn Nam Mê Kông,Nam Mekong Group Joint Stock Company,https://nammekong.net,https://nammekong.net/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000VC39,23600,Đang giao dịch
VC6,HNX,Công ty cổ phần Xây dựng và Đầu tư Visicons,Visicons Construction And Investment Joint Stock Company,https://visicons.vn,https://visicons.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000VC62,20000,Đang giao dịch
VC7,HNX,Công ty Cổ phần Tập đoàn BGI,BGI Group Joint Stock Company,https://bgi.vn,https://bgi.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VC70,7200,Đang giao dịch
VC9,HNX,Cổ phiếu CTCP Xây dựng số 9,No. 9 Construction Join Stock Company,https://vc9.vn,https://vc9.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000VC96,4400,Đang giao dịch
VCC,HNX,Cổ phiếu Công ty cổ phần Vinaconex 25,Vinaconex 25 JSC,http://vinaconex25.com.vn,http://vinaconex25.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VCC2,9600,Đang giao dịch
VCM,HNX,Công ty Cổ phần BV Life,Vinaconex Trading and Manpower JSC,https://bvlife.com.vn,https://bvlife.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VCM1,6300,Đang giao dịch
VCS,HNX,Cổ phiếu CTCP VICOSTONE,Vicostone Joint Stock Company,https://vicostone.com,https://vicostone.com/vi-vn/investor-relations,Công nghiệp,Xây dựng & Vật liệu,VN000000VCS8,31800,Đang giao dịch
VDL,HNX,Cổ phiếu CTCP Thực phẩm Lâm Đồng,Lamdong Foodstuffs Joint Stock Company,https://ladofoods.vn,https://ladofoods.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000VDL1,12000,Đang giao dịch
VE1,HNX,Công ty cổ phần Xây dựng điện VNECO1,VNECO 1 Electricity Construction JSC,http://vneco1.com.vn,http://vneco1.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000VE11,2900,Đang giao dịch
VE3,HNX,VE3 - CTCP Xây dựng Điện VNECO 3,VNECO 3 Electricity Construction JSC,http://vneco3.com.vn,http://vneco3.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000VE37,9500,Tạm ngừng / Khác
VE4,HNX,Cổ phiếu Công ty cổ phần Xây dựng điện VNECO4,VNECO4 Electricity Construction JSC,http://vneco4.com.vn,http://vneco4.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000VE45,260000,Đang giao dịch
VFS,HNX,CTCP Chung khoan Nhat Viet,Viet First Securities Corporation,http://vfs.com.vn,http://vfs.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VFS1,10500,Đang giao dịch
VGP,HNX,Cổ phiếu CTCP Cảng Rau Quả,The Vegetexco Port JSC,https://vegeport.com.vn,https://vegeport.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000VGP5,28200,Đang giao dịch
VGS,HNX,Cổ phiếu CTCP ống thép Việt Đức VG PIPE,Vietnam Germany Steel Pipe JSC,https://vietductube.com.vn,https://vietductube.com.vn/quan-he-co-dongNh,Nguyên vật liệu,Thép & Kim loại,VN000000VGS9,17300,Đang giao dịch
VHE,HNX,CTCP Duoc lieu va Thuc pham Viet nam,Vinaherbfoods Joint Stock Company,https://vinaherbfoods.com,https://vinaherbfoods.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VHE7,2800,Đang giao dịch
VHL,HNX,Cổ phiếu Cty cổ phần Viglacera Hạ Long,Viglacera Ha Long JSC,http://viglacerahalong.vn,http://viglacerahalong.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VHL2,10700,Đang giao dịch
VIF,HNX,TCT Lam nghiep Viet Nam - CTCP,Viet Nam Forestry Corporation - Joint Stock company,http://vinafor.com.vn,http://vinafor.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VIF2,14900,Đang giao dịch
VIG,HNX,Công ty cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,Viet Nam Financial Investment Securities Corporation,https://vifcs.com.vn,https://vifcs.com.vn/quan-he-co-dong,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000VIG0,4000,Đang giao dịch
VIT,HNX,Cổ phiếu CTCP Viglacera Tiên Sơn,Viglacera Tien Son JSC,https://viglaceratienson.com,https://viglaceratienson.com/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000VIT3,26500,Đang giao dịch
VLA,HNX,VLA - CTCP Đầu tư và Phát triển Công nghệ Văn Lang,Van Lang Technology Development and Investment JSC,http://vla.vn,http://vla.vn/quan-he-co-dong,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000VLA7,7800,Đang giao dịch
VMC,HNX,Cổ phiếu Công ty cổ phần VIMECO,Vimeco JSC,https://vimeco.com.vn,https://vimeco.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VMC1,3800,Đang giao dịch
VMS,HNX,CTCP Phat trien Hang hai,Vietnam Maritime Development JSC,http://vimadeco.com.vn,http://vimadeco.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VMS7,36000,Đang giao dịch
VNC,HNX,Công ty cổ phần Tập đoàn Vinacontrol,Vinacontrol Group Corporation,https://vinacontrol.com.vn,https://vinacontrol.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VNC9,36000,Đang giao dịch
VNF,HNX,Công ty cổ phần Vinafreight,Vinafreight Joint Stock Company,https://vinafreight.com,https://vinafreight.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VNF2,13400,Đang giao dịch
VNR,HNX,Cổ phiếu Tổng CTCP Tái Bảo hiểm Quốc gia Việt Nam,Vietnam National Reinsurance Corporation,https://vinare.com.vn,https://vinare.com.vn/quan-he-co-dong,Tài chính,Bảo hiểm,VN000000VNR7,17600,Đang giao dịch
VNT,HNX,Cổ phiếu Công ty cổ phần Giao nhận vận tải Ngoại thương,The Van Cargoes And Foreign Trade Logistics Joint Stock Company,http://vntlogistics.com,http://vntlogistics.com/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000VNT3,29300,Đang giao dịch
VSA,HNX,CTCP Dai ly Hang hai Viet Nam,Vietnam Ocean Shipping Agency Corporation,https://vosa.com.vn,https://vosa.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VSA2,18100,Đang giao dịch
VSM,HNX,CTCP Container Mien Trung,Central Container Joint Stock Company,https://viconshipdanang.com,https://viconshipdanang.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000VSM7,15700,Đang giao dịch
VTC,HNX,cổ phần Công ty cổ phần Viễn thông VTC,VTC Telecommunications JSC,http://vtctelecom.com.vn,http://vtctelecom.com.vn/quan-he-co-dong,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000VTC6,9900,Đang giao dịch
VTH,HNX,VTH - CTCP Day cap dien Viet Thai,Viet Thai Electric Cable Corporation,https://vietthaicable.vn,https://vietthaicable.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000VTH5,9800,Đang giao dịch
VTJ,HNX,CTCP Thương mại và Đầu tư Vinataba,Vi Na Ta Ba Trading & Investment Joint-stock Company,https://vinainvest.com.vn,https://vinainvest.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000VTJ1,4400,Đang giao dịch
VTV,HNX,Công ty cổ phần Năng lượng và Môi trường VICEM,VICEM Materials Transport Cement Joint Stock Company,http://vtvxm.vn,http://vtvxm.vn/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000VTV6,14500,Đang giao dịch
VTZ,HNX,CTCP San xuat va Thuong mai Nhua Viet Thanh,Viet Thanh Plastic Trading And Manufacturing Joint Stock Company,https://vithacoplastic.com,https://vithacoplastic.com/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000VTZ7,20500,Đang giao dịch
WCS,HNX,WCS - Công ty cổ phần Bến Xe Miền Tây,West Coach Station JSC,https://bxmt.com.vn,https://bxmt.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000WCS6,290000,Đang giao dịch
WSS,HNX,Cổ phiếu CTCP Chứng khoán Phố Wall,Wall Street Securities Joint Stock Company,https://wss.com.vn,https://wss.com.vn/quan-he-co-dong,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000WSS2,6000,Đang giao dịch
X20,HNX,CTCP X20,X20 Joint Stock Company,https://gatexco20.com.vn,https://gatexco20.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000X206,10700,Đang giao dịch
